,best,population-1,population-2,population-3,population-4,population-5,population-6,population-7,population-8,population-9,population-10,population-11,population-12
0,163,163,163,163,163,163,163,163,163,163,163,163,163
1,192,192,192,192,192,192,192,192,192,192,192,192,192
2,157,157,157,157,157,157,157,157,157,157,157,157,157
3,192,192,192,192,192,192,192,192,192,192,192,192,192
4,255,127,127,127,127,127,127,127,127,255,127,127,127
5,173,173,173,173,173,173,173,173,173,173,173,173,173
6,160,160,160,160,160,160,160,160,160,160,160,160,160
7,127,127,127,127,127,127,127,127,127,127,127,127,127
8,160,160,160,160,160,160,160,160,160,160,160,160,160
9,159,159,159,159,159,159,159,159,159,159,159,159,159
10,162,162,162,162,162,162,162,162,162,162,162,162,162
11,159,159,159,159,159,159,159,159,159,159,159,159,159
12,157,157,157,157,157,157,157,157,157,157,157,157,157
13,158,158,158,158,158,158,158,158,158,158,158,158,158
14,164,160,160,160,164,160,160,160,160,160,160,160,160
15,155,155,155,155,155,155,155,155,155,155,155,155,155
16,160,160,160,160,160,160,160,160,160,160,160,160,160
17,159,159,159,159,159,159,159,159,159,159,159,159,159
18,161,161,161,161,161,161,161,161,161,161,161,161,161
19,155,155,155,155,155,155,155,159,155,155,155,155,155
20,172,172,172,172,172,172,172,172,172,172,172,172,172
21,158,159,159,159,159,159,159,159,158,159,159,159,159
22,157,157,157,157,157,157,157,157,157,157,157,157,157
23,40,168,168,168,168,168,168,168,168,168,40,168,168
24,159,159,159,159,159,159,159,159,159,159,159,159,159
25,125,125,125,125,125,125,125,125,125,125,125,125,125
26,159,159,159,159,159,159,159,159,159,159,159,159,159
27,168,168,168,168,168,168,168,168,168,168,168,168,168
28,149,149,149,149,149,149,149,149,149,149,149,149,149
29,161,161,161,161,161,161,161,161,161,161,161,161,161
